"بيت","Noun","عاد أبي إلى (البيت) متأخراً بعد عمل طويل.|يقع (بيتنا) في شارع هادئ بجانب المسجد."
"مدرسة","Noun","يذهب التلاميذ إلى (المدرسة) كل صباح لتعلم العلوم.|(المدرسة) قريبة جداً من منزلنا، نذهب إليها مشياً."
"كتاب","Noun","قرأت (كتاباً) ممتعاً عن تاريخ الأندلس الأسبوع الماضي.|ضع هذا (الكتاب) على الرف العلوي في المكتبة."
"رجل","Noun","ساعد (رجل) طيب العجوز في عبور الشارع المزدحم.|هذا (الرجل) هو مدير الشركة الجديد."
"امرأة","Noun","هذه (المرأة) تعمل طبيبة في المستشفى الكبير.|كانت (امرأة) ذكية جداً وتتحدث ثلاث لغات."
"طالب","Noun","كل (طالب) في الفصل يجب أن يكتب مقالاً اليوم.|أنا (طالب) في جامعة القاهرة أدرس الهندسة."
"مدينة","Noun","القاهرة هي أكبر (مدينة) في العالم العربي.|أحب العيش في (مدينة) ساحلية خلال فصل الصيف."
"وقت","Noun","ليس لدي (وقت) كافٍ لشرح كل التفاصيل الآن.|يجب أن نحترم (الوقت) ونصل في الموعد المحدد."
"عمل","Noun","البحث عن (عمل) مناسب يتطلب الكثير من الصبر.|انتهيت من (عملي) وسأعود إلى المنزل الآن."
"يوم","Noun","سأراك في (يوم) السبت القادم إن شاء الله.|كان (يوماً) جميلاً قضيناه في الحديقة العامة."
"ماء","Noun","أشعر بالعطش الشديد، هل يمكنني شرب القليل من (الماء)؟|يجب غسل الخضروات بـ(ماء) نظيف قبل طبخها."
"طعام","Noun","رائحة (الطعام) الذي تطبخه أمي شهية جداً.|يوجد (طعام) كثير في الثلاجة لمن يشعر بالجوع."
"صديق","Noun","قابلت (صديقي) القديم في المقهى صدفة.|الصديق الحقيقي هو (صديق) وقت الضيق."
"شجر","Noun","توجد (أشجار) كثيرة في هذه الحديقة الواسعة.|تنمو (الشجرة) بشكل أسرع إذا سقيناها بانتظام."
"بحر","Noun","أحب الجلوس أمام (البحر) عند غروب الشمس.|السفر عبر (البحر) يستغرق وقتاً أطول من الطائرة."
"سيارة","Noun","اشتريت (سيارة) جديدة الأسبوع الماضي لونها أسود.|ركنت (سيارتي) في المواقف المخصصة خلف المبنى."
"لغة","Noun","اللغة العربية هي (لغة) القرآن الكريم والشعر.|تعلم (لغة) جديدة يفتح آفاقاً واسعة للمعرفة."
"صورة","Noun","التقطنا (صورة) تذكارية أمام الأهرامات في الجيزة.|علق أخي (صورة) عائلتنا في وسط غرفة الجلوس."
"ساعة","Noun","كم (الساعة) الآن؟ هل تأخرنا عن الموعد؟|أرتدي (ساعة) يدوية جميلة أهداني إياها والدي."
"شمس","Noun","تشرق (الشمس) كل صباح وتملأ الدنيا نوراً.|حرارة (الشمس) قوية جداً اليوم في وقت الظهيرة."
"كتب","Verb","(كتبتُ) رسالة طويلة إلى صديقي في السفر.|الطالب (يكتب) الدرس على السبورة الآن."
"ذهب","Verb","(ذهبتُ) إلى السوق صباحاً لشراء الفواكه.|هل (تذهبون) إلى النادي في عطلة نهاية الأسبوع؟"
"أكل","Verb","(أكلتُ) وجبة لذيذة في مطعم إيطالي أمس.|الطفل الصغير (يأكل) التفاحة ببطء."
"شرب","Verb","(شربتُ) كوباً من القهوة الدافئة في الصباح.|هل (شربتَ) الماء الكافي بعد ممارسة الرياضة؟"
"قرأ","Verb","(قرأتُ) خبراً مثيراً للاهتمام في الصحيفة اليوم.|المعلم (يقرأ) القصة للأطفال في المكتبة."
"فعل","Verb","ماذا (فعلتَ) عندما سمعت هذا الخبر الغريب؟|أنا (أفعل) ما بوسعي لمساعدتكم في هذا المشروع."
"قال","Verb","(قلتُ) له إن الموعد قد تغير إلى الساعة الخامسة.|الأم (تقول) دائماً إن الصدق هو أهم شيء."
"جاء","Verb","(جاء) أخي من المطار ومعه حقائب كثيرة.|متى (يأجيء) الضيوف إلى الحفل الليلة؟"
"عرف","Verb","هل (عرفتَ) إجابة السؤال الصعب في الامتحان؟|أنا (أعرف) هذا الشخص منذ سنوات طويلة."
"نام","Verb","(نمتُ) مبكراً لكي أستيقظ بنشاط في الصباح.|القط (ينام) بهدوء فوق الأريكة في غرفة المعيشة."
"عمل","Verb","(عملتُ) في هذه الشركة لمدة خمس سنوات متواصلة.|أبي (يعمل) طبيباً في المستشفى المركزي."
"سمع","Verb","(سمعتُ) صوتاً غريباً يأتي من خلف الباب.|هل (تسمعون) صوت العصافير في الصباح الباكر؟"
"رأى","Verb","(رأيتُ) فيلماً رائعاً في السينما ليلة أمس.|(رأينا) قوس قزح في السماء بعد هطول المطر."
"أراد","Verb","(أردتُ) شراء قميص جديد ولكن المحل كان مغلقاً.|هل (تريدين) الذهاب معنا إلى المكتبة الآن؟"
"جلس","Verb","(جلستُ) تحت الشجرة الكبيرة لأستريح قليلاً.|الرجل (يجلس) على المقعد وينتظر الحافلة."
"خرج","Verb","(خرجتُ) من المنزل في تمام الساعة الثامنة صباحاً.|الموظفون (يخرجون) من الشركة بعد انتهاء الدوام."
"دخل","Verb","(دخلتُ) الغرفة ووجدت الجميع في انتظاري.|المعلم (يدخل) الفصل ويبدأ بشرح الدرس."
"سكن","Verb","(سكنتُ) في مدينة القاهرة لمدة عامين للدراسة.|أين (تسكن) الآن؟ هل منزلك قريب من هنا؟"
"فهم","Verb","(فهمتُ) الدرس جيداً بفضل شرحك الواضح.|هل (فهمتم) القواعد الجديدة التي تعلمناها اليوم؟"
"سأل","Verb","(سألتُ) المعلم عن معنى هذه الكلمة الصعبة.|السائح (يسأل) عن الطريق المؤدي إلى المتحف."
"كبير","Adjective","هذا البيت (كبير) جداً ويتسع لعائلة ضخمة.|يسكن أخي في مدينة (كبيرة) ومزدحمة بالسكان."
"صغير","Adjective","رأيت قطاً (صغيراً) وجميلاً في الحديقة.|هذا القميص (صغير) عليّ، أحتاج إلى مقاس أكبر."
"جميل","Adjective","المنظر من قمة الجبل (جميل) للغاية.|ارتدت مريم فستاناً (جميلاً) في حفلة التخرج."
"قبيح","Adjective","هذا التصرف (قبيح) ولا يليق بطالب مهذب.|لا أحب هذا اللون، إنه يبدو (قبيحاً) على الحائط."
"جديد","Adjective","اشتريت هاتفاً (جديداً) بمواصفات متطورة.|بدأ المعلم (الجديد) درسه الأول اليوم بنشاط."
"قديم","Adjective","هذه السيارة (قديمة) جداً ولكنها لا تزال تعمل.|وجدت كتاباً (قديماً) في مكتبة جدي المهجورة."
"طويل","Adjective","هذا الشارع (طويل) جداً ويصل بين حيين.|أخي (طويل) القامة ويلعب في فريق كرة السلة."
"قصير","Adjective","الوقت (قصير) جداً ولا يكفي لإنهاء الامتحان.|كتبت قصة (قصيرة) عن مغامراتي في الغابة."
"قوي","Adjective","يحتاج هذا العمل إلى رجل (قوي) ليحمل الصناديق.|كانت الرياح (قوية) لدرجة أنها كسرت أغصان الشجر."
"ضعيف","Adjective","أشعر بأنني (ضعيف) جسدياً بسبب الإنفلونزا.|مستوى الطالب في اللغة الفرنسية ما زال (ضعيفاً)."
"سهل","Adjective","كان امتحان الرياضيات (سهلاً) اليوم وخرجنا مبكراً.|البحث عن المعلومات على الإنترنت أصبح (سهلاً) للغاية."
"صعب","Adjective","واجهتني مشكلة (صعبة) جداً في حل هذه المسألة.|من (الصعب) السفر في هذا الجو العاصف."
"غني","Adjective","هذا التاجر (غني) ويمتلك عدة شركات عالمية.|الزيتون (غني) بالزيوت الصحية المفيدة للجسم."
"فقير","Adjective","ساعدت الجمعية رجلاً (فقيراً) لا يملك ثمن الطعام.|كانت المنطقة (فقيرة) بالخدمات والمرافق العامة."
"سريع","Adjective","الفهد حيوان (سريع) جداً ويصطاد ببراعة.|ركبت قطاراً (سريعاً) يقطع المسافة في ساعة واحدة."
"بطيء","Adjective","السلحفاة حيوان (بطيء) في حركته على الأرض.|خدمة الإنترنت في هذا الفندق (بطيئة) جداً."
"بارد","Adjective","أحب شرب العصير (البارد) في أيام الصيف الحارة.|الجو (بارد) جداً في الخارج، ارتدِ معطفك."
"حار","Adjective","لا تشرب الشاي وهو (حار) لكي لا يحرق لسانك.|فصل الصيف في دبي يكون (حاراً) وجافاً."
"نظيف","Adjective","غرفتي دائماً (نظيفة) ومرتبة لأنني أنظفها يومياً.|يجب أن يكون الماء (نظيفاً) وصالحاً للشرب."
"وسخ","Adjective","كانت ملابس الطفل (وسخة) بعد لعبه في الطين.|لا تترك الأطباق (وسخة) في حوض المطبخ."
"جيداً","Adverb","تحدث الطالب اللغة العربية (جيداً) بعد دراستها لسنوات.|يجب أن تنظف أسنانك (جيداً) قبل النوم."
"دائماً","Adverb","أنا (دائماً) أستيقظ مبكراً لأمارس الرياضة الصباحية.|المعلم (دائماً) يساعد الطلاب في حل المشكلات الصعبة."
"أبداً","Adverb","لا أكذب (أبداً) لأنني أحترم الصدق في التعامل.|لم يزر أخي مدينة لندن (أبداً) في حياته."
"أحياناً","Adverb","أذهب إلى السينما (أحياناً) عندما يكون لدي وقت فراغ.|(أحياناً) تمطر السماء في فصل الصيف بشكل مفاجئ."
"كثيراً","Adverb","أحب عائلتي (كثيراً) وأقضي معهم كل عطلة.|لقد تأخرت (كثيراً) عن موعد المحاضرة اليوم."
"قليلاً","Adverb","انتظر (قليلاً) من فضلك حتى ينتهي المدير من الاجتماع.|أشعر بالتعب (قليلاً) وأحتاج إلى الراحة لدقائق."
"بسرعة","Adverb","قاد السائق السيارة (بسرعة) ليلحق بموعد القطار.|انتهى الطفل من أكل طعامه (بسرعة) ليذهب للعب."
"ببطء","Adverb","تمشي السلحفاة (ببطء) شديد على الرمال.|تحدث المعلم (ببطء) لكي يفهم الطلاب كل كلمة."
"هنا","Adverb","ضع كتبك (هنا) فوق هذه الطاولة الخشبية.|(هنا) ولدت وتربيت في هذا المنزل القديم."
"هناك","Adverb","انظر إلى ذلك الجبل (هناك) حيث تغطيه الثلوج.|توجد مكتبة كبيرة (هناك) في نهاية الشارع."
"الآن","Adverb","يجب أن نخرج من المنزل (الآن) لكي لا نتأخر.|أنا أدرس اللغة الإسبانية (الآن) عبر الإنترنت."
"أمس","Adverb","وصلت رسالتك (أمس) في وقت متأخر من الليل.|ذهبت إلى الطبيب (أمس) لأنني كنت مريضاً."
"غداً","Adverb","سوف نسافر إلى مكة (غداً) في الصباح الباكر.|سيكون الجو مشمساً (غداً) حسب توقعات الأرصاد."
"فجأة","Adverb","توقف المحرك (فجأة) في وسط الطريق السريع.|(فجأة) بدأ الجميع بالتصفيق عندما دخل البطل."
"معاً","Adverb","ذهبنا (معاً) إلى الحديقة وقضينا وقتاً ممتعاً.|دعونا نعمل (معاً) لإنهاء هذا المشروع بسرعة."
"مبكراً","Adverb","وصل الموظف إلى المكتب (مبكراً) ليبدأ عمله.|استيقظت (مبكراً) اليوم لأرى شروق الشمس."
"متأخراً","Adverb","وصل القطار (متأخراً) بنصف ساعة عن موعده.|عاد أبي إلى البيت (متأخراً) بسبب زحمة السير."
"جداً","Adverb","هذا الدرس مهم (جداً) للامتحان النهائي القادم.|أنا سعيد (جداً) برؤيتكم اليوم بعد غياب طويل."
"تقريباً","Adverb","انتهيت من قراءة الكتاب (تقريباً) ولم يبق إلا صفحتان.|كان هناك مئة شخص (تقريباً) في قاعة الاحتفال."
"ربما","Adverb","(ربما) يسافر والدي إلى الخارج في مهمة عمل.|لا أعرف السبب، (ربما) نسي مفاتيح السيارة بالداخل."
