"บ้าน","Noun","หลังจากเลิกงาน ฉันก็รีบกลับ (บ้าน) ทันทีเพื่อไปพักผ่อน|ครอบครัวของเราอาศัยอยู่ใน (บ้าน) หลังนี้มานานกว่าสิบปีแล้ว"
"โรงเรียน","Noun","เด็กๆ เดินทางไป (โรงเรียน) ตั้งแต่เช้าตรู่เพื่อเข้าแถวเคารพธงชาติ|คุณครูกำลังสอนหนังสือให้นักเรียนอยู่ใน (โรงเรียน) ประถมใกล้บ้าน"
"อาหาร","Noun","แม่ทำ (อาหาร) เย็นรสชาติอร่อยมากจนทุกคนขอเติมข้าว|การรับประทาน (อาหาร) ที่มีประโยชน์จะช่วยให้ร่างกายแข็งแรง"
"น้ำ","Noun","เวลาที่รู้สึกกระหาย (น้ำ) เย็นๆ สักแก้วจะช่วยให้สดชื่นขึ้นมาก|กรุณาช่วยรด (น้ำ) ต้นไม้ในสวนให้ฉันหน่อยในช่วงเย็น"
"คน","Noun","มี (คน) จำนวนมากมารวมตัวกันที่ห้างสรรพสินค้าเพื่อรอชมคอนเสิร์ต|เขาเป็น (คน) มีน้ำใจที่ชอบช่วยเหลือผู้อื่นเสมอ"
"เวลา","Noun","เราไม่มี (เวลา) เหลือมากนักสำหรับการทำข้อสอบวิชาคณิตศาสตร์|กรุณารักษา (เวลา) และมาตามนัดให้ตรงตามที่ตกลงกันไว้"
"หนังสือ","Noun","ฉันชอบอ่าน (หนังสือ) นวนิยายก่อนนอนทุกคืนเพื่อให้จิตใจสงบ|ห้องสมุดมี (หนังสือ) ภาษาต่างประเทศให้เลือกศึกษามากมาย"
"เงิน","Noun","เขาทำงานหนักเพื่อเก็บ (เงิน) ไปท่องเที่ยวต่างประเทศในช่วงปลายปี|การบริหารจัดการ (เงิน) เป็นสิ่งสำคัญในการสร้างความมั่นคงในชีวิต"
"รถ","Noun","พ่อล้าง (รถ) คันใหม่จนสะอาดเอี่ยมเพื่อเตรียมขับไปทำงาน|จราจรติดขัดมากเพราะมี (รถ) เสียอยู่กลางถนนสายหลัก"
"เพื่อน","Noun","(เพื่อน) สนิทของฉันย้ายไปเรียนต่อที่ต่างประเทศเมื่อเดือนที่แล้ว|พวกเราไปเที่ยวทะเลด้วยกันกับกลุ่ม (เพื่อน) ในวันหยุดสุดสัปดาห์"
"เมือง","Noun","กรุงเทพฯ เป็น (เมือง) หลวงที่มีแสงสีเสียงสวยงามในยามค่ำคืน|ผู้คนส่วนใหญ่ย้ายเข้ามาทำงานใน (เมือง) ใหญ่เพื่อหารายได้เพิ่ม"
"งาน","Noun","เขาตั้งใจทำ (งาน) ชิ้นนี้มากเพื่อให้หัวหน้าพอใจในผลงาน|หลังจากเรียนจบ ฉันเริ่มสมัคร (งาน) ในบริษัทที่มีชื่อเสียง"
"มือ","Noun","อย่าลืมล้าง (มือ) ให้สะอาดด้วยสบู่ก่อนที่จะรับประทานอาหาร|เขาใช้ (มือ) ทั้งสองข้างประคองแก้วน้ำอย่างระมัดระวัง"
