"勇氣","Noun","在面對困難時，他展現了極大的(勇氣)去克服挑戰。|即使感到害怕，她依然鼓起(勇氣)站在台上演講。"
"責任","Noun","照顧年邁的父母是子女應盡的(責任)。|身為組長，他必須為這次計畫的失敗負起全部的(責任)。"
"效率","Noun","透過引進新的自動化設備，工廠的生產(效率)提升了一倍。|為了提高工作(效率)，我決定每天早上先列出待辦清單。"
"傳統","Noun","每逢中秋節，吃月亮蝦餅並非台灣的(傳統)，吃月餅才是。|這座小鎮至今仍保留著許多古老的文化(傳統)。"
"藉口","Noun","他總是為自己的遲到尋找各種(藉口)，讓人難以信任。|別再找(藉口)了，現在就開始行動吧。"
"對手","Noun","他在這場棋賽中遇到了一個實力強勁的(對手)。|雖然在商場上是(對手)，但他們私下是非常好的朋友。"
"環境","Noun","我們應該共同努力，為下一代創造一個更美好的生活(環境)。|適應新(環境)需要一段時間，請給自己多一點耐心。"
"背景","Noun","這幅畫的(背景)是深藍色的星空，給人一種寧靜的感覺。|在錄取員工之前，公司會先調查應徵者的教育(背景)。"
"趨勢","Noun","隨著科技的進步，遠端辦公已經成為全球的發展(趨勢)。|從目前的數據來看，房價仍有持續上漲的(趨勢)。"
"資源","Noun","這間圖書館擁有豐富的圖書(資源)供民眾免費借閱。|水是地球上最寶貴的(資源)之一，我們應該節約使用。"
"印象","Noun","這部電影感人的情節給我留下了深刻的(印象)。|第一次見面時，他對妳的(印象)非常好。"
"負擔","Noun","高昂的學費對這個貧困的家庭來說是一項沉重的(負擔)。|規律的運動可以減輕心理上的(負擔)與壓力。"
"規律","Noun","科學家試圖從混亂的數據中找出自然界的(規律)。|維持生活(規律)對於保持身體健康非常重要。"
"成就","Noun","他在醫學領域的卓越(成就)獲得了國際間的肯定。|看到孩子平安長大，就是父母最大的(成就)。"
"基礎","Noun","穩固的語言(基礎)是學習進階課程的關鍵。|這座大樓的(基礎)工程做得很紮實，能抵抗強震。"
"魅力","Noun","那位演員極具個人(魅力)，吸引了無數粉絲。|這座城市的神祕(魅力)讓旅人流連忘返。"
"矛盾","Noun","他的言行充滿了(矛盾)，讓人不知道該相信哪一句話。|理想與現實之間往往存在著難以調和的(矛盾)。"
"規模","Noun","這家公司的經營(規模)逐年擴大，員工已達上千人。|這場地震的(規模)很大，全台都有明顯震感。"
"動機","Noun","警方正在調查這起案件的犯罪(動機)。|缺乏學習(動機)是學生成績下滑的主要原因之一。"
"尊嚴","Noun","每個人都有權利維護自己的(尊嚴)，不受他人羞辱。|他寧願辭職，也不願做出有損人格(尊嚴)的事情。"
"分析","Verb","專家正在(分析)市場數據，以預測未來的經濟走向。|透過仔細(分析)錯誤的原因，我們可以避免再次發生同樣的問題。"
"改善","Verb","為了(改善)空氣品質，政府鼓勵民眾搭乘大眾運輸工具。|這款軟體經過多次更新，操作介面已經(改善)了許多。"
"拒絕","Verb","他很有禮貌地(拒絕)了對方的邀請，因為那天他已經有約了。|即使面對高薪的誘惑，她依然(拒絕)做出違背良心的事。"
"適應","Verb","剛搬到國外時，他花了好幾個月才(適應)當地的飲食習慣。|變色龍能隨環境改變體色，以(適應)周遭的色彩。"
"延期","Verb","由於颱風來襲，原定於週六舉行的馬拉松比賽將(延期)舉行。|如果工作進度落後，我們可能不得不將截稿日期(延期)。"
"累積","Verb","想要寫出一本好書，平時必須(累積)豐富的閱讀經驗。|他在這間公司工作了十年，(累積)了深厚的實務技巧。"
"推薦","Verb","這家餐廳的招牌菜非常好吃，我強烈(推薦)你試試看。|老師向學校(推薦)了幾位表現優異的學生參加出國交換計畫。"
"克服","Verb","只要我們團結一致，一定能(克服)目前面臨的種種困難。|他努力(克服)了對水的恐懼，終於學會了游泳。"
"強調","Verb","醫生反覆(強調)睡眠充足對於免疫系統的重要性。|這篇報告特別(強調)了環境保護與經濟發展之間的平衡。"
"購買","Verb","現在網路購物非常方便，隨時都能在線上(購買)所需的日常用品。|他(購買)了一張前往倫敦的機票，準備展開畢業旅行。"
"猶豫","Verb","面對這兩個工作機會，他感到非常(猶豫)，不知道該如何選擇。|別再(猶豫)了，機會是不等人的，快點做決定吧。"
"實施","Verb","新修訂的交通法規將於下個月正式(實施)。|公司決定從明年起(實施)彈性工時制度，以提高員工滿意度。"
"觀察","Verb","學生們在實驗室裡仔細地(觀察)化學反應的過程。|透過長期(觀察)候鳥的遷徙路線，科學家掌握了牠們的習性。"
"羡慕","Verb","他非常(羡慕)好友能擁有說走就走的勇氣。|大家都(羡慕)她能找到一份既有趣收入又高的工作。"
"珍惜","Verb","我們應該(珍惜)身邊的親友，不要等到失去才後悔。|他非常(珍惜)這次出國深造的機會，每天都努力學習。"
"忽略","Verb","在追求速度的同時，絕對不能(忽略)產品的品質控管。|他因為太忙於工作，(忽略)了對家人的陪伴與關心。"
"貢獻","Verb","這位科學家一生致力於醫學研究，為人類做出了巨大(貢獻)。|每位國民都能為社會的進步(貢獻)一份心力。"
"保證","Verb","廠商(保證)這台機器在正常使用情況下，三年內不會損壞。|我向你(保證)，我絕對會準時完成這項任務。"
"威脅","Verb","氣候變遷正嚴重(威脅)著許多瀕危物種的生存。|那個陌生人恐嚇並(威脅)他交出身上的財物。"
"推廣","Verb","政府近年來大力(推廣)資源回收，希望能減少垃圾量。|為了(推廣)閱讀文化，這間書店定期舉辦講座與讀書會。"
"謹慎","Adjective","這項實驗具有危險性，操作時必須非常(謹慎)。|他在理財方面一向很(謹慎)，從不投資自己不了解的產品。"
"頻繁","Adjective","由於兩國貿易往來(頻繁)，雙方決定簽署新的合作協議。|最近這地區地震(頻繁)，請大家務必做好防震準備。"
