"人","Noun","公园里有很多(人)在散步。|这位(人)是我的中文老师。"
"家","Noun","下班以后，我马上回(家)休息。|我的(家)就在超市旁边。"
"老师","Noun","王(老师)教我们数学和科学。|他是学校里最受欢迎的(老师)。"
"学生","Noun","图书馆里有很多(学生)在看书。|这位(学生)学习非常刻苦。"
"书","Noun","我最近在读一本很有趣的(书)。|桌子上放着几本中文(书)。"
"水","Noun","口渴的时候，喝杯(水)很舒服。|运动后我们需要补充大量的(水)。"
"饭","Noun","你中午想吃什么(饭)？|妈妈做的(饭)总是最好吃的。"
"医生","Noun","生病了就要去医院看(医生)。|我的梦想是将来成为一名(医生)。"
"学校","Noun","我们的(学校)很大，环境也很美。|孩子们每天早上八点去(学校)。"
"公司","Noun","他在一家外贸(公司)工作了五年。|我明天要去(公司)参加面试。"
"时间","Noun","(时间)过得真快，转眼就毕业了。|我现在没有(时间)陪你去逛街。"
"钱","Noun","买这件衬衫花了我很多(钱)。|他的钱包里只有一点儿(钱)。"
"朋友","Noun","周末我和(朋友)一起去打球。|他是我最好的(朋友)，我们从小就认识。"
"手机","Noun","我的(手机)坏了，需要去修理。|现在的人们都离不开(手机)。"
"天气","Noun","今天的(天气)很好，阳光明媚。|你出门前看看(天气)预报了吗？"
"衣服","Noun","他在商店里买了几件新(衣服)。|冬天的(衣服)通常比较厚。"
"电影","Noun","你昨天看的那个(电影)好看吗？|我们打算今晚去电影院看(电影)。"
"名字","Noun","请在纸上写下你的(名字)。|这个地方的(名字)我不太记得了。"
"咖啡","Noun","我每天早上都要喝一杯(咖啡)。|这家店的(咖啡)味道非常浓郁。"
"城市","Noun","上海是一个非常现代化的(城市)。|我喜欢住在安静的小(城市)里。"
"是","Verb","我(是)一名学生，在上海读书。|他们(是)我的好朋友，我们认识很久了。"
"有","Verb","桌子上(有)一本汉语字典。|我(有)一个哥哥和一个姐姐。"
"去","Verb","周末我们打算(去)公园野餐。|他已经(去)公司上班了。"
"吃","Verb","你中午想(吃)中国菜还是西餐？|我最喜欢(吃)妈妈做的红烧肉。"
"喝","Verb","医生建议每天要(喝)足够的水。|我不喜欢(喝)咖啡，我更喜欢喝茶。"
"看","Verb","我喜欢在晚上(看)一会儿电视。|你(看)见我的钥匙放在哪里了吗？"
"听","Verb","他在房间里(听)流行音乐。|老师说的话你都(听)懂了吗？"
